id,category,title,authors,year,venue,doi_or_identifier,verified_link,relevance
1,Citation fabrication and accuracy,Fabrication and errors in the bibliographic citations generated by ChatGPT,William H. Walters; Esther Isabelle Wilder,2023,Scientific Reports,https://doi.org/10.1038/s41598-023-41032-5,https://doi.org/10.1038/s41598-023-41032-5,Core empirical study of fabricated and inaccurate bibliographic citations from GPT-3.5 and GPT-4.
2,Citation fabrication and accuracy,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,Joseph Mugaanyi; Liuying Cai; Sumei Cheng; Caide Lu; Jing Huang,2024,Journal of Medical Internet Research,https://doi.org/10.2196/52935,https://www.jmir.org/2024/1/e52935,Compares citation/reference accuracy across natural-science and humanities topics.
3,Citation fabrication and accuracy,Learning to Fake It: Limited Responses and Fabricated References Provided by ChatGPT for Medical Questions,Jocelyn Gravel; Madeleine D’Amours-Gravel; Esli Osmanlliu,2023,Mayo Clinic Proceedings: Digital Health,https://doi.org/10.1016/j.mcpdig.2023.05.004,https://doi.org/10.1016/j.mcpdig.2023.05.004,Reports fabricated references produced for medical questions.
4,Citation fabrication and accuracy,High Rates of Fabricated and Inaccurate References in ChatGPT-Generated Medical Content,Mehul Bhattacharyya; Valerie M. Miller; Debjani Bhattacharyya; Larry E. Miller,2023,Cureus,https://doi.org/10.7759/cureus.39238,https://doi.org/10.7759/cureus.39238,Measures authenticity and field-level errors in ChatGPT-generated medical references.
5,Citation fabrication and accuracy,Hallucination Rates and Reference Accuracy of ChatGPT and Bard for Systematic Reviews: Comparative Analysis,Mikaël Chelli; Jules Descamps; Vincent Lavoué; et al.,2024,Journal of Medical Internet Research,https://doi.org/10.2196/53164,https://www.jmir.org/2024/1/e53164,"Compares GPT-3.5, GPT-4 and Bard reference retrieval/hallucination rates."
6,Citation fabrication and accuracy,This Reference Does Not Exist: An Exploration of LLM Citation Accuracy and Relevance,Byun et al.,2024,HCI International / HCINLP,https://doi.org/10.18653/v1/2024.hcinlp-1.3,https://aclanthology.org/2024.hcinlp-1.3/,Studies title/author accuracy and relevance of model-recommended citations.
7,Citation fabrication and accuracy,"ChatGPT as Research Scientist: Probing GPT’s capabilities as a Research Librarian, Research Ethicist, Data Generator, and Data Predictor",Authors as listed by PNAS,2024,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.2404328121,https://doi.org/10.1073/pnas.2404328121,Includes a controlled analysis of hallucinated and erroneous references.
8,Citation generation,Content-Based Citation Recommendation,Chandra Bhagavatula; Sergey Feldman; Russell Power; Waleed Ammar,2018,NAACL-HLT,https://aclanthology.org/N18-1022/,https://aclanthology.org/N18-1022/,Foundational citation-recommendation work using document representations and reranking.
9,Citation generation,Controllable Citation Sentence Generation with Language Models,Nianlong Gu; Richard Hahnloser,2024,ACL Workshop on Scholarly Document Processing,https://aclanthology.org/2024.sdp-1.4/,https://aclanthology.org/2024.sdp-1.4/,Studies controllable generation of citation sentences and citation intent.
10,Citation generation,Enabling Large Language Models to Generate Text with Citations,Tianyu Gao; Howard Yen; Jiatong Yu; Danqi Chen,2023,EMNLP,https://aclanthology.org/2023.emnlp-main.398/,https://aclanthology.org/2023.emnlp-main.398/,"Introduces ALCE, a benchmark for automatic evaluation of answers with citations."
