ID,Paper/Citation in Submitted Paper,Authors as Cited,Year,Venue,Verification Link,Audit Status,Audit Note
R01,Do Language Models Know When They're Hallucinating References?,Ayush Agrawal; Mirac Suzgun; Lester Mackey; Adam Tauman Kalai,2024,Findings of ACL: EACL 2024,https://aclanthology.org/2024.findings-eacl.62/,VALID,Exact paper and authors verified; ACL record exists.
R02,Reference Hallucination Score for Medical Artificial Intelligence Chatbots: Development and Usability Study,Fahad Aljamaan; Mohammed-Hani Temsah; Ibrahim Altamimi; et al.,2024,JMIR Medical Informatics,https://doi.org/10.2196/54345,VALID,Exact title/DOI and publication record verified.
R03,Artificial Hallucinations in ChatGPT: Implications in Scientific Writing,Hussam Alkaissi; Samy I. McFarlane,2023,Cureus,https://doi.org/10.7759/cureus.35179,VALID,PubMed/Cureus record verified.
R04,Exploring the Boundaries of Reality: Investigating the Phenomenon of Artificial Intelligence Hallucination in Scientific Writing Through ChatGPT References,Sai Anirudh Athaluri; Sandeep Varma Manthena; V. S. R. Krishna Manoj Kesapragada; et al.,2023,Cureus,https://doi.org/10.7759/cureus.37432,VALID,Cureus and PubMed records verified.
R05,"Authority, Truth, and Citation Bias: A Large-Scale Multi-Domain Benchmark for Studying Epistemic Susceptibility in Large Language Models",Aryan Khurana; Aravind Ramana RN; Dhruv Kumar,2026,arXiv,https://arxiv.org/abs/2606.13104,VALID,arXiv record and project repository verified.
R06,HalluLens: LLM Hallucination Benchmark,Yejin Bang; Ziwei Ji; Alan Schelten; et al.,2025,ACL 2025,https://aclanthology.org/2025.acl-long.1176/,VALID,ACL metadata and code release verified.
R07,"Assessing the Performance of 8 AI Chatbots in Bibliographic Reference Retrieval: Grok and DeepSeek Outperform ChatGPT, but None Are Fully Accurate",Álvaro Cabezas-Clavijo; Pavel Sidorenko-Bautista,2025,arXiv,https://arxiv.org/abs/2505.18059,VALID,arXiv metadata verified; related journal DOI is also recorded by the arXiv page.
R08,Hallucination Rates and Reference Accuracy of ChatGPT and Bard for Systematic Reviews: Comparative Analysis,Mikaël Chelli; Jules Descamps; Vincent Lavoué; et al.,2024,Journal of Medical Internet Research,https://doi.org/10.2196/53164,VALID,JMIR/PubMed metadata verified.
R09,LegalCiteBench: Evaluating Citation Reliability in Legal Language Models,Sijia Chen; Hang Yin; Shunfan Zhou,2026,arXiv,https://arxiv.org/abs/2605.10186,VALID,arXiv record verified.
R10,Large Legal Fictions: Profiling Legal Hallucinations in Large Language Models,Matthew Dahl; Varun Magesh; Mirac Suzgun; Daniel E. Ho,2024,Journal of Legal Analysis,https://doi.org/10.1093/jla/laae003,VALID,Oxford Academic record and DOI verified.
R11,Detecting and Correcting Reference Hallucinations in Commercial LLMs and Deep Research Agents,Delip Rao; Eric Wong; Chris Callison-Burch,2026,arXiv,https://arxiv.org/abs/2604.03173,VALID,arXiv record and open-source urlhealth implementation verified.
R12,Enabling Large Language Models to Generate Text with Citations,Tianyu Gao; Howard Yen; Jiatong Yu; Danqi Chen,2023,EMNLP 2023,https://aclanthology.org/2023.emnlp-main.398/,VALID,ACL metadata and ALCE repository verified.
R13,GhostCite: A Large-Scale Analysis of Citation Validity in the Age of Large Language Models,Zuyao Xu; Yuqi Qiu; Lu Sun; et al.,2026,arXiv,https://arxiv.org/abs/2602.06718,VALID,arXiv record and GhostCite/CiteVerifier repository verified.
R14,Learning to Fake It: Limited Responses and Fabricated References Provided by ChatGPT for Medical Questions,Jocelyn Gravel; Madeleine D’Amours-Gravel; Esli Osmanlliu,2023,Mayo Clinic Proceedings: Digital Health,https://doi.org/10.1016/j.mcpdig.2023.05.004,VALID,Publisher/DOI record verified.
R15,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",Lei Huang; Weijiang Yu; Weitao Ma; et al.,2025,ACM Transactions on Information Systems,https://doi.org/10.1145/3703155,VALID,ACM record verified.
R16,How ChatGPT Search (Mis)represents Publisher Content,Klaudia Jaźwińska; Aisvarya Chandrasekar,2024,Columbia Journalism Review / Tow Center,https://www.cjr.org/tow_center/how-chatgpt-misrepresents-publisher-content.php,VALID,CJR/Tow Center publication verified.
R17,AI Search Has a Citation Problem,Klaudia Jaźwińska; Aisvarya Chandrasekar,2025,Columbia Journalism Review / Tow Center,https://www.cjr.org/tow_center/we-compared-eight-ai-search-engines-theyre-all-bad-at-citing-news.php,VALID,CJR/Tow Center publication verified.
R18,Influence of Topic Familiarity and Prompt Specificity on Citation Fabrication in Mental Health Research Using Large Language Models: Experimental Study,Jonathan Linardon; Hannah K. Jarman; Zachary McClure; et al.,2025,JMIR Mental Health,https://doi.org/10.2196/80371,VALID,JMIR metadata verified.
R19,Evaluating Verifiability in Generative Search Engines,Nelson F. Liu; Tianyi Zhang; Percy Liang,2023,Findings of ACL: EMNLP 2023,https://aclanthology.org/2023.findings-emnlp.467/,VALID,ACL metadata verified.
R20,Hallucination-Free? Assessing the Reliability of Leading AI Legal Research Tools,Varun Magesh; Faiz Surani; Matthew Dahl; et al.,2024,arXiv,https://arxiv.org/abs/2405.20362,VALID,arXiv record verified.
R21,"Mata v. Avianca, Inc., No. 1:22-cv-01461 (PKC)","U.S. District Court, S.D.N.Y.",2023,Court case,https://www.courtlistener.com/docket/63107798/mata-v-avianca-inc/,VALID,CourtListener docket record verified; non-scholarly legal source.
R22,"Reference Hallucination in AI-Assisted Academic Writing: A Comparative Analysis of ChatGPT, Gemini, and Perplexity in Rotator Cuff Literature",Claimed in paper as: Resmi Rajalekshmi & Devendra K. Agrawal,2026,Indian Journal of Orthopaedics,https://doi.org/10.1007/s43465-026-01807-0,PARTIALLY_VALID,"The cited DOI/title corresponds to a real 2026 paper, but the actual authors are İlhan Celil Özbek and Fatih Bağcıer; the paper's author attribution is incorrect."
R23,Fabrication and Errors in the Bibliographic Citations Generated by ChatGPT,William H. Walters; Esther Isabelle Wilder,2023,Scientific Reports,https://doi.org/10.1038/s41598-023-41032-5,VALID,Scientific Reports/PubMed record verified.
